t,ms,x,y,z,f
1560485207,001,21184.419,139.932,43107.368,47990.880
1560485208,001,21184.426,139.925,43107.381,47990.890
1560485209,001,21184.373,139.871,43107.365,47990.860
1560485210,000,21184.329,139.831,43107.384,47990.940
1560485211,000,21184.374,139.818,43107.385,47990.890
1560485212,000,21184.413,139.841,43107.411,47990.930
1560485213,001,21184.379,139.775,43107.387,47990.890
1560485214,001,21184.390,139.709,43107.411,47990.880
1560485215,001,21184.363,139.608,43107.417,47990.890
1560485216,000,21184.345,139.575,43107.428,47990.880
1560485217,000,21184.327,139.539,43107.464,47990.880
1560485218,000,21184.249,139.496,43107.455,47990.870
1560485219,001,21184.269,139.461,43107.485,47990.860
1560485220,001,21184.252,139.415,43107.462,47990.860
1560485221,001,21184.186,139.376,43107.441,47990.890
1560485222,000,21184.155,139.372,43107.403,47990.850
1560485223,000,21184.114,139.329,43107.435,47990.820
1560485224,000,21184.087,139.349,43107.437,47990.810
1560485225,000,21183.998,139.369,43107.396,47990.790
1560485226,001,21184.026,139.424,43107.401,47990.780
1560485227,001,21184.076,139.443,43107.386,47990.740
1560485228,001,21184.054,139.433,43107.388,47990.740
1560485229,001,21183.999,139.426,43107.397,47990.700
1560485230,000,21184.014,139.369,43107.403,47990.730
1560485231,000,21183.994,139.340,43107.390,47990.750
1560485232,001,21183.957,139.362,43107.405,47990.730
1560485233,001,21183.938,139.386,43107.404,47990.750
1560485234,001,21183.956,139.400,43107.426,47990.750
1560485235,000,21183.996,139.406,43107.456,47990.780
1560485236,000,21184.006,139.450,43107.413,47990.710
1560485237,000,21183.961,139.431,43107.415,47990.750
1560485238,000,21183.984,139.407,43107.375,47990.760
1560485239,001,21183.969,139.451,43107.354,47990.710
1560485240,001,21183.935,139.497,43107.365,47990.700
1560485241,001,21183.934,139.479,43107.310,47990.690
1560485242,000,21183.914,139.438,43107.298,47990.640
1560485243,000,21183.937,139.412,43107.316,47990.620
1560485244,000,21183.885,139.419,43107.297,47990.660
1560485245,001,21183.852,139.401,43107.260,47990.600
1560485246,001,21183.848,139.401,43107.275,47990.630
1560485247,001,21183.834,139.400,43107.279,47990.600
1560485248,000,21183.820,139.426,43107.308,47990.610
1560485249,000,21183.787,139.428,43107.333,47990.570
1560485250,000,21183.780,139.487,43107.308,47990.580
1560485251,001,21183.780,139.518,43107.290,47990.560
1560485252,001,21183.682,139.495,43107.327,47990.480
1560485253,001,21183.628,139.446,43107.327,47990.530
1560485254,000,21183.584,139.434,43107.340,47990.520
1560485255,000,21183.535,139.364,43107.374,47990.530
1560485256,000,21183.591,139.347,43107.380,47990.520
1560485257,000,21183.542,139.364,43107.346,47990.510
1560485258,001,21183.570,139.315,43107.285,47990.510
1560485259,001,21183.536,139.291,43107.297,47990.460
1560485260,001,21183.531,139.248,43107.347,47990.480
1560485261,000,21183.576,139.192,43107.316,47990.440
1560485262,000,21183.543,139.186,43107.301,47990.470
1560485263,000,21183.478,139.108,43107.356,47990.490
1560485264,001,21183.492,139.094,43107.374,47990.460
1560485265,001,21183.454,139.147,43107.370,47990.470
1560485266,001,21183.464,139.162,43107.370,47990.490
1560485267,000,21183.492,139.160,43107.410,47990.500
1560485268,000,21183.465,139.129,43107.416,47990.510
1560485269,000,21183.441,139.138,43107.416,47990.540
1560485270,001,21183.405,139.123,43107.448,47990.500
1560485271,001,21183.426,139.137,43107.457,47990.540
1560485272,001,21183.397,139.143,43107.485,47990.540
1560485273,000,21183.403,139.162,43107.455,47990.560
1560485274,000,21183.377,139.209,43107.428,47990.560
1560485275,000,21183.453,139.220,43107.406,47990.550
1560485276,000,21183.461,139.205,43107.433,47990.620
1560485277,001,21183.454,139.199,43107.415,47990.580
1560485278,001,21183.465,139.130,43107.422,47990.600
1560485279,001,21183.467,139.155,43107.431,47990.590
1560485280,000,21183.540,139.165,43107.444,47990.630
1560485281,000,21183.608,139.168,43107.474,47990.640
1560485282,000,21183.591,139.221,43107.496,47990.650
1560485283,001,21183.594,139.222,43107.485,47990.670
1560485284,001,21183.640,139.186,43107.461,47990.660
1560485285,001,21183.578,139.216,43107.503,47990.660
1560485286,000,21183.546,139.204,43107.538,47990.670
1560485287,000,21183.521,139.216,43107.502,47990.710
1560485288,000,21183.505,139.237,43107.502,47990.710
1560485289,001,21183.472,139.251,43107.514,47990.710
1560485290,001,21183.398,139.280,43107.563,47990.720
1560485291,001,21183.372,139.297,43107.600,47990.710
1560485292,001,21183.320,139.316,43107.594,47990.660
1560485293,000,21183.293,139.368,43107.586,47990.690
1560485294,000,21183.325,139.353,43107.558,47990.670
1560485295,000,21183.322,139.344,43107.625,47990.650
1560485296,001,21183.320,139.333,43107.633,47990.710
1560485297,001,21183.370,139.289,43107.679,47990.710
1560485298,001,21183.325,139.282,43107.703,47990.720
1560485299,000,21183.215,139.336,43107.752,47990.730
1560485300,000,21183.266,139.345,43107.735,47990.800
1560485301,000,21183.332,139.342,43107.775,47990.760
1560485302,001,21183.328,139.393,43107.718,47990.810
1560485303,001,21183.366,139.450,43107.695,47990.770
1560485304,001,21183.370,139.514,43107.716,47990.750
1560485305,000,21183.367,139.539,43107.715,47990.770
1560485306,000,21183.389,139.584,43107.697,47990.760
1560485307,000,21183.346,139.610,43107.706,47990.790
1560485308,000,21183.388,139.614,43107.725,47990.800
1560485309,001,21183.367,139.665,43107.699,47990.760
1560485310,001,21183.356,139.703,43107.696,47990.780
1560485311,001,21183.351,139.750,43107.682,47990.790
1560485312,000,21183.368,139.748,43107.662,47990.750
1560485313,000,21183.363,139.768,43107.683,47990.790
1560485314,000,21183.330,139.798,43107.715,47990.800
1560485315,001,21183.445,139.806,43107.696,47990.810
1560485316,001,21183.473,139.833,43107.658,47990.820
1560485317,001,21183.493,139.870,43107.680,47990.750
1560485318,000,21183.482,139.923,43107.701,47990.810
1560485319,000,21183.505,139.956,43107.712,47990.820
1560485320,000,21183.498,140.007,43107.690,47990.790
1560485321,001,21183.477,140.036,43107.682,47990.790
1560485322,001,21183.455,140.064,43107.647,47990.800
1560485323,001,21183.478,140.106,43107.617,47990.780
1560485324,001,21183.456,140.179,43107.691,47990.790
1560485325,000,21183.397,140.268,43107.683,47990.800
1560485326,000,21183.387,140.361,43107.682,47990.800
1560485327,000,21183.386,140.450,43107.686,47990.780
1560485328,001,21183.356,140.537,43107.624,47990.780
1560485329,001,21183.322,140.608,43107.596,47990.740
1560485330,001,21183.306,140.684,43107.655,47990.690
1560485331,000,21183.330,140.700,43107.664,47990.720
1560485332,000,21183.315,140.757,43107.593,47990.710
1560485333,000,21183.348,140.776,43107.596,47990.690
1560485334,001,21183.328,140.817,43107.596,47990.670
1560485335,001,21183.356,140.785,43107.602,47990.730
1560485336,002,21183.333,140.750,43107.626,47990.680
1560485337,000,21183.356,140.794,43107.645,47990.720
1560485338,000,21183.383,140.811,43107.613,47990.730
1560485339,000,21183.346,140.866,43107.630,47990.700
1560485340,000,21183.332,140.878,43107.637,47990.710
1560485341,001,21183.336,140.915,43107.632,47990.720
1560485342,001,21183.306,140.991,43107.645,47990.740
1560485343,001,21183.341,140.968,43107.661,47990.720
1560485344,000,21183.377,140.976,43107.652,47990.710
1560485345,000,21183.329,140.979,43107.666,47990.710
1560485346,000,21183.383,141.024,43107.681,47990.740
1560485347,001,21183.367,141.135,43107.683,47990.740
1560485348,001,21183.378,141.229,43107.701,47990.730
1560485349,001,21183.375,141.296,43107.674,47990.710
1560485350,000,21183.356,141.311,43107.645,47990.710
1560485351,000,21183.309,141.312,43107.680,47990.690
1560485352,000,21183.309,141.324,43107.668,47990.690
1560485353,001,21183.354,141.325,43107.598,47990.690
1560485354,001,21183.354,141.371,43107.607,47990.690
1560485355,001,21183.332,141.355,43107.643,47990.670
1560485356,001,21183.359,141.353,43107.588,47990.670
1560485357,000,21183.296,141.320,43107.549,47990.670
1560485358,000,21183.299,141.316,43107.574,47990.650
1560485359,000,21183.279,141.302,43107.551,47990.620
1560485360,001,21183.244,141.318,43107.532,47990.620
1560485361,001,21183.294,141.289,43107.549,47990.650
1560485362,001,21183.341,141.287,43107.525,47990.620
1560485363,000,21183.366,141.276,43107.500,47990.610
1560485364,000,21183.365,141.264,43107.513,47990.640
1560485365,000,21183.409,141.207,43107.561,47990.660
1560485366,001,21183.403,141.206,43107.615,47990.670
1560485367,001,21183.425,141.147,43107.584,47990.640
1560485368,001,21183.367,141.124,43107.631,47990.730
1560485369,000,21183.400,141.106,43107.644,47990.770
1560485370,000,21183.400,141.043,43107.644,47990.780
1560485371,000,21183.421,140.978,43107.609,47990.750
1560485372,000,21183.397,140.940,43107.631,47990.770
1560485373,001,21183.368,140.907,43107.661,47990.750
1560485374,001,21183.306,140.876,43107.704,47990.750
1560485375,001,21183.353,140.789,43107.709,47990.770
1560485376,000,21183.376,140.726,43107.727,47990.840
1560485377,000,21183.422,140.680,43107.756,47990.820
1560485378,000,21183.401,140.683,43107.745,47990.800
1560485379,001,21183.284,140.751,43107.747,47990.760
1560485380,001,21183.270,140.761,43107.711,47990.750
1560485381,001,21183.236,140.766,43107.688,47990.700
1560485382,000,21183.173,140.811,43107.677,47990.670
1560485383,000,21183.161,140.832,43107.650,47990.640
1560485384,000,21183.125,140.840,43107.685,47990.590
1560485385,001,21183.106,140.851,43107.687,47990.570
1560485386,001,21183.066,140.873,43107.655,47990.570
1560485387,001,21183.030,140.870,43107.639,47990.510
1560485388,001,21182.989,140.900,43107.614,47990.510
1560485389,000,21182.943,140.924,43107.611,47990.480
1560485390,000,21182.859,140.983,43107.648,47990.460
1560485391,000,21182.848,141.008,43107.666,47990.470
1560485392,001,21182.869,141.050,43107.646,47990.470
1560485393,001,21182.876,141.088,43107.602,47990.450
1560485394,001,21182.941,141.139,43107.616,47990.480
1560485395,000,21182.990,141.183,43107.594,47990.490
1560485396,000,21182.976,141.235,43107.553,47990.460
1560485397,000,21182.925,141.288,43107.558,47990.470
1560485398,001,21182.927,141.351,43107.506,47990.410
1560485399,001,21182.916,141.404,43107.485,47990.400
